rule,question,answer
"How to use int filter in Blended? : '10' |int, here 10 is converted to int 10",Does the integer filter support negative integers?,"Yes, the int filter can handle negative numbers. For example, '-10' | int will convert the string '-10' to the integer -10."
,Assign the value 10 to the variable 'count' and display it.,"{% set count = 10 %}
{{ count }}"
,Set the variable 'count' to 10 and output its value.,"{% set count = 10 %}
{{ count }}"
,Define 'count' as 10 and print its value.,"{% set count = 10 %}
{{ count }}"
,Transform the variable 'id' into a string and assign it to 'user_id'.,{% set user_id = id | string  %}
,Change the variable 'id' to a string and store it in 'user_id'.,{% set user_id = id | string  %}
,Convert the variable 'id' to a string and place it in 'user_id'.,{% set user_id = id | string  %}
,Transform the variable 'score' into a string and assign it to 'result'.,{% set result = score | string %}
,Change the variable 'score' to a string and store it in 'result'.,{% set result = score | string %}
,Convert the variable 'score' to a string and save it in 'result'.,{% set result = score | string %}
,Trim the 'salary' variable and display it,"{% print truncate(salary, 2) %}"
,Squeeze the 'salary' variable and output it,"{% print truncate(salary, 2) %}"
,Shorten the 'salary' variable and print it,"{% print truncate(salary, 2) %}"
,Concatenate 'Thank' and 'You' with a space and display the result,{% set temp = 'Thank' ~  'You' %}{% print temp %}
,Merge 'Thank' and 'You' with a space and output the combined string,{% set temp = 'Thank' ~  'You' %}{% print temp %}
,Join 'Thank' and 'You' with a space and print the resulting text,{% set temp = 'Thank' ~  'You' %}{% print temp %}
,Transform the string 'world' into uppercase and display it.,{% print  upper('world') %}
,Change the string 'world' to uppercase and output it.,{% print  upper('world') %}
,Convert the string 'world' to uppercase and print it out.,{% print  upper('world') %}
,Join 'Mr.' with the variable 'surname' and display the result,{% set temp = 'Mr. ' ~  surname %}{% print temp %}
,Meld 'Mr.' and the variable 'surname' and output the combined string,{% set temp = 'Mr. ' ~  surname %}{% print temp %}
,Combine 'Mr.' and the variable 'surname' and print the concatenated output,{% set temp = 'Mr. ' ~  surname %}{% print temp %}
,Display the message 'Loading...',{% print 'Loading...' %}
,Show the text 'Loading...',{% print 'Loading...' %}
,Print the string 'Loading...' to the console,{% print 'Loading...' %}
,Join 'Version' and '2.0' and display the result,{% set temp = 'Version' ~  '2.0' %}{% print temp %}
,Merge 'Version' and '2.0' and output the combined string,{% set temp = 'Version' ~  '2.0' %}{% print temp %}
,Concatenate 'Version' and '2.0' and print the final string,{% set temp = 'Version' ~  '2.0' %}{% print temp %}
,Trim the decimal number 3.14159 to its integer part,"{{ truncate(3.14159, 2) }}"
,Simplify the value 3.14159 to its whole number,"{{ truncate(3.14159, 2) }}"
,Reduce the floating-point number 3.14159 to its integer equivalent,"{{ truncate(3.14159, 2) }}"
