rule,modified_rule,prompt,jinja,blended,reasoning
Print statement in Blended only accepts string or number as input,Strict Print: The {% print ... %} statement only accepts a string or a number as input.,"Write a jinja template to print ""Hello World"" and 42.","{{ ""Hello World"" }}   
{{ 42 }}             ","{% print ""Hello World"" %}   
{% print 42 %}             ",Print statement can be used to print only string and numbers.
Print statement in Blended only accepts string or number as input,Strict Print: The {% print ... %} statement only accepts a string or a number as input.,"Write a jinja template to print the name ""Alice"" and age 25.","{{ ""Alice"" }}   
{{ 25 }}       ","{% print ""Alice"" %}   
{% print 25 %}       ",Print statement can be used to print only string and numbers.
Print statement in Blended only accepts string or number as input,Strict Print: The {% print ... %} statement only accepts a string or a number as input.,"Write a jinja template to print ""Welcome"" and the number 100.","{{ ""Welcome"" }}   
{{ 100 }}        ","{% print ""Welcome"" %}   
{% print 100 %}        ",Print statement can be used to print only string and numbers.
Print statement in Blended only accepts string or number as input,Strict Print: The {% print ... %} statement only accepts a string or a number as input.,"Write a jinja template to print ""Price:"" and 99.99.","{{ ""Price:"" }}   
{{ 99.99 }}      ","{% print ""Price:"" %}   
{% print 99.99 %}      ",Print statement can be used to print only string and numbers.
Print statement in Blended doesn't accept any other thing,Strict Print: The {% print ... %} statement only accepts a string or a number as input.,Write a jinja template to print boolean value,{{ true }} ,Blended template cannot be generated,Print statement cannot be used to print booleans
Print statement in Blended doesn't accept any other thing,Strict Print: The {% print ... %} statement only accepts a string or a number as input.,"Write a jinja template to print a list [1, 2, 3]","{{ [1, 2, 3] }} ",,
Print statement in Blended doesn't accept any other thing,Strict Print: The {% print ... %} statement only accepts a string or a number as input.,Write a jinja template to print null value,{{ null }} ,Blended template cannot be generated,Print statement cannot be used to print null values
Print statement in Blended doesn't accept any other thing,Strict Print: The {% print ... %} statement only accepts a string or a number as input.,"Write a jinja template to print an object {name: ""John""}","{{ {name: ""John""} }} ",Blended template cannot be generated,Print statement cannot be used to print objects
Render statement only accepts string or number as input,Strict Render: A render expression {{ ... }} must resolve to a string or a number.,"Write a jinja template to render ""Hello World"" and 42.","{{ ""Hello World"" }}   
{{ 42 }}             ","{{ ""Hello World"" }}   
{{ 42 }}             ","In Blended, when referred to just render, ""render this string"", it means printing that string. Format is exactly like Jinja : {{ ""hello"" }}"
Render statement only accepts string or number as input,Strict Render: A render expression {{ ... }} must resolve to a string or a number.,"Write a jinja template to render ""Status"" and 200.","{{ ""Status"" }}   
{{ 200 }}        ","{{ ""Status"" }}   
{{ 200 }}        ","In Blended, when referred to just render, ""render this string"", it means printing that string. Format is exactly like Jinja : {{ ""hello"" }}"
Render statement only accepts string or number as input,Strict Render: A render expression {{ ... }} must resolve to a string or a number.,"Write a jinja template to render ""Temperature"" and 36.5.","{{ ""Temperature"" }}   
{{ 36.5 }}           ","{{ ""Temperature"" }}   
{{ 36.5 }}           ","In Blended, when referred to just render, ""render this string"", it means printing that string. Format is exactly like Jinja : {{ ""hello"" }}"
Render statement only accepts string or number as input,Strict Render: A render expression {{ ... }} must resolve to a string or a number.,"Write a jinja template to render ""Count"" and 0.","{{ ""Count"" }}   
{{ 0 }}         ","{{ ""Count"" }}   
{{ 0 }}         ","In Blended, when referred to just render, ""render this string"", it means printing that string. Format is exactly like Jinja : {{ ""hello"" }}"
Render statement only accepts string or number as input,Strict Render: A render expression {{ ... }} must resolve to a string or a number.,Write a jinja template to render boolean value,{{ true }} ,Blended template cannot be generated,"In Blended, when referred to just render, ""render this string"", it means printing that string. Format is exactly like Jinja : {{ ""hello"" }}, but it doesn't allow booleans"
Render statement only accepts string or number as input,Strict Render: A render expression {{ ... }} must resolve to a string or a number.,Write a jinja template to render boolean false,{{ false }} ,Blended template cannot be generated,"In Blended, when referred to just render, ""render this string"", it means printing that string. Format is exactly like Jinja : {{ ""hello"" }}, but it doesn't allow booleans"
Render statement only accepts string or number as input,Strict Render: A render expression {{ ... }} must resolve to a string or a number.,Write a jinja template to render a list of numbers,"{{ [10, 20, 30] }} ",Blended template cannot be generated,"In Blended, when referred to just render, ""render this string"", it means printing that string. Format is exactly like Jinja : {{ ""hello"" }}, but it doesn't allow lists"
Render statement only accepts string or number as input,Strict Render: A render expression {{ ... }} must resolve to a string or a number.,Write a jinja template to render an empty object,{{ {} }} ,Blended template cannot be generated,"In Blended, when referred to just render, ""render this string"", it means printing that string. Format is exactly like Jinja : {{ ""hello"" }}, but it doesn't allow empty object"
