rule,question,answer
"﻿Names defined inside parent or ancestor scopes are available for use within child or descendant scopes, but not vice-versa.",Can a variable defined in a parent scope be accessed in a child scope?,"Yes, a variable defined in a parent scope is available for use within child or descendant scopes."
"﻿Names defined inside parent or ancestor scopes are available for use within child or descendant scopes, but not vice-versa.",Can a variable defined in a child scope be accessed in a parent scope?,"No, a variable defined in a child scope is not available for use within parent or ancestor scopes."
"﻿Names defined inside parent or ancestor scopes are available for use within child or descendant scopes, but not vice-versa.",What happens if a variable is defined in both a parent and a child scope?,"In Blended, multiple declarations of a variable are not allowed. Attempting to do so will result in a syntax error."
"﻿Names defined inside parent or ancestor scopes are available for use within child or descendant scopes, but not vice-versa.",Can a variable be redefined in a child scope?,"No, it cannot be redefined. In Blended, multiple declarations of a variable are not allowed. Attempting to do so will result in a syntax error."
"﻿Names defined inside parent or ancestor scopes are available for use within child or descendant scopes, but not vice-versa.",What happens if a variable is defined in a parent scope and then redefined in a child scope?,"In Blended, multiple declarations of a variable are not allowed. Attempting to do so will result in a syntax error."
Multiple declarations of a variable or blended object are not allowed in Blended.,What happens if I try to declare the same variable twice in a Blended program?,"In Blended, multiple declarations of a variable are not allowed. Attempting to do so will result in a syntax error."
Multiple declarations of a variable or blended object are not allowed in Blended.,Can I declare the same blended object twice in a Blended program?,"In Blended, multiple declarations of a blended object are not allowed. Attempting to do so will result in a syntax error."
Multiple declarations of a variable or blended object are not allowed in Blended.,"What if I have a nested structure with variables or objects, and I want to declare them multiple times?","In Blended, multiple declarations of variables or objects within a nested structure are not allowed. Attempting to do so will result in a syntax error."
Multiple declarations of a variable or blended object are not allowed in Blended.,"I declared a variable twice in a code segment in Blended. But I got error, why?",It is because multiple declarations of variables are not allowed in blended.
Names defined inside parent or ancestor scopes cannot be overwritten or modified within child or descendant scopes--they are read-only.,What happens if a variable is defined in a parent scope and then a child scope tries to redefine it?,The child scope will not be able to redefine the variable as multiple declarations are not allowed in Blended.
Names defined inside parent or ancestor scopes cannot be overwritten or modified within child or descendant scopes--they are read-only.,What if a variable is defined in a parent scope and then a child scope tries to modify it?,The child scope will not be able to modify the variable. It will be read-only and cannot be changed.
Names defined inside parent or ancestor scopes cannot be overwritten or modified within child or descendant scopes--they are read-only.,What is the nature of variable in child scope which is defined in parent scope?,"They are read-only variables and thus, cannot be modified or redefined. "
Names defined inside parent or ancestor scopes cannot be overwritten or modified within child or descendant scopes--they are read-only.,What if a variable is defined in a parent scope and then a grandchild scope tries to redefine it?,The grandchild scope will not be able to redefine the variable. It will be read-only and cannot be modified.
Names defined inside a scope are unavailable after the scope exits--they are local to that scope;,What happens if a variable is defined inside a function and then used outside of that function?,The variable is not available outside the function. It is local to the function and cannot be accessed outside of it.
Names defined inside a scope are unavailable after the scope exits--they are local to that scope;,Can a variable be defined inside a loop and then used outside of the loop?,The variable is not available outside the loop. It is local to the loop and cannot be accessed outside of it.
Names defined inside a scope are unavailable after the scope exits--they are local to that scope;,"What if a variable is defined inside a conditional block (if, else, elif) and then used outside of that block?",The variable is not available outside the conditional block. It is local to the block and cannot be accessed outside of it.
Names defined inside a scope are unavailable after the scope exits--they are local to that scope;,Can a variable be declared inside scope A and used in scope B?,"No, variable declared inside scope A can be used in scope A only and not in any other scope"
Names defined inside a scope are unavailable after the scope exits--they are local to that scope;,What if a variable is defined inside a class and then used outside of the class?,The variable is not available outside the class. It is local to the class and cannot be accessed outside of it.
